ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20160101050000,20160101000000,-6,-33,10240,260,77,-9999,3,-9999,,
20160101060000,20160101010000,-6,-50,10233,280,57,-9999,0,3,,
20160101070000,20160101020000,-6,-50,10231,260,72,-9999,0,-9999,,
20160101080000,20160101030000,-6,-50,10233,280,36,-9999,0,-9999,,
20160101090000,20160101040000,-6,-50,10229,270,51,-9999,0,-9999,,
20160101100000,20160101050000,-11,-50,10223,280,46,-9999,0,-9999,,
20160101110000,20160101060000,-11,-50,10219,260,51,-9999,0,-9999,,
20160101120000,20160101070000,-11,-50,10221,230,67,-9999,0,-9999,,
20160101130000,20160101080000,-6,-56,10224,250,67,-9999,0,-9999,,
20160101140000,20160101090000,-6,-50,10224,260,57,-9999,0,-9999,,
20160101150000,20160101100000,0,-56,10224,230,77,-9999,0,-9999,,
20160101160000,20160101110000,0,-56,10224,270,67,-9999,-1,-9999,,
20160101170000,20160101120000,6,-61,10213,250,77,-9999,-1,-9999,,
20160101180000,20160101130000,17,-67,10203,250,72,-9999,0,-1,,
20160101190000,20160101140000,11,-67,10197,260,57,-9999,0,-9999,,
20160101200000,20160101150000,17,-72,10195,280,67,-9999,0,-9999,,
20160101210000,20160101160000,22,-78,10195,260,72,-9999,0,-9999,,
20160101220000,20160101170000,11,-83,10202,270,46,-9999,0,-9999,,
20160101230000,20160101180000,11,-78,10204,280,62,-9999,0,-9999,,
20160102000000,20160101190000,11,-72,10208,260,67,-9999,0,-9999,,
20160102010000,20160101200000,6,-72,10210,260,77,-9999,0,-9999,,
20160102020000,20160101210000,6,-72,10210,260,57,-9999,0,-9999,,
20160102030000,20160101220000,6,-67,10212,280,57,-9999,0,-9999,,
20160102040000,20160101230000,0,-67,10214,270,46,-9999,0,-9999,,
20160102050000,20160102000000,0,-67,10217,290,46,-9999,0,-9999,,
20160102060000,20160102010000,-6,-72,10216,280,31,-9999,0,-9999,,
20160102070000,20160102020000,-11,-72,10214,290,31,-9999,0,-9999,,
20160102080000,20160102030000,-17,-72,10212,260,31,-9999,0,-9999,,
20160102090000,20160102040000,-17,-67,10210,250,41,-9999,0,-9999,,
20160102100000,20160102050000,-22,-72,10211,230,62,-9999,0,-9999,,
20160102110000,20160102060000,-22,-72,10211,240,46,-9999,0,-9999,,
20160102120000,20160102070000,-22,-72,10209,220,46,-9999,0,-9999,,
20160102130000,20160102080000,-22,-72,10209,220,46,-9999,0,-9999,,
20160102140000,20160102090000,-17,-67,10217,250,62,-9999,0,-9999,,
20160102150000,20160102100000,-17,-61,10216,230,77,-9999,0,-9999,,
20160102160000,20160102110000,-11,-56,10214,240,46,-9999,0,-9999,,
20160102170000,20160102120000,-6,-56,10201,240,72,-9999,0,-9999,,
20160102180000,20160102130000,0,-56,10189,240,62,-9999,0,-9999,,
20160102190000,20160102140000,11,-56,10181,250,77,-9999,0,-9999,,
20160102200000,20160102150000,22,-56,10178,270,41,-9999,0,-9999,,
20160102210000,20160102160000,28,-56,10178,240,57,-9999,0,-9999,,
20160102220000,20160102170000,22,-56,10178,230,41,0,0,-9999,,
20160102230000,20160102180000,17,-56,10175,210,36,0,0,-9999,,
20160103000000,20160102190000,11,-56,10175,200,31,0,0,-9999,,
20160103010000,20160102200000,6,-56,10174,200,36,0,0,-9999,,
20160103020000,20160102210000,0,-56,10171,190,36,0,0,-9999,,
20160103030000,20160102220000,0,-56,10167,190,41,0,0,-9999,,
20160103040000,20160102230000,0,-56,10161,180,31,0,0,-9999,,
20160103050000,20160103000000,6,-56,10153,190,51,0,0,-9999,,
20160103060000,20160103010000,0,-56,10146,200,46,0,0,-9999,,
20160103070000,20160103020000,6,-56,10145,210,41,0,0,-9999,,
20160103080000,20160103030000,11,-56,10140,210,67,0,0,-9999,,
20160103090000,20160103040000,11,-56,10132,210,62,0,0,-9999,,
20160103100000,20160103050000,6,-56,10129,210,51,0,0,-9999,,
20160103110000,20160103060000,0,-56,10134,220,46,0,0,-9999,,
20160103120000,20160103070000,0,-56,10139,230,41,0,0,-9999,,
20160103130000,20160103080000,6,-50,10142,230,46,-9999,0,-9999,,
20160103140000,20160103090000,6,-50,10144,250,77,-9999,0,-9999,,
20160103150000,20160103100000,6,-50,10150,270,62,-9999,0,-9999,,
20160103160000,20160103110000,6,-50,10152,270,62,-9999,0,-9999,,
20160103170000,20160103120000,6,-50,10149,290,51,-9999,0,-9999,,
20160103180000,20160103130000,6,-50,10144,300,36,-9999,0,-9999,,
20160103190000,20160103140000,6,-44,10143,280,36,-9999,0,-9999,,
20160103200000,20160103150000,11,-44,10145,260,57,-9999,0,-9999,,
20160103210000,20160103160000,11,-44,10152,280,36,-9999,0,-9999,,
20160103220000,20160103170000,6,-44,10158,270,36,-9999,0,-9999,,
20160103230000,20160103180000,6,-44,10163,290,36,-9999,0,-9999,,
20160104000000,20160103190000,6,-39,10169,300,15,-9999,-1,-1,,
20160104010000,20160103200000,0,-39,10176,330,57,-9999,-1,-9999,,
20160104020000,20160103210000,0,-56,10179,320,67,-9999,-1,-9999,,
20160104030000,20160103220000,-6,-56,10181,320,41,-9999,0,-9999,,
20160104040000,20160103230000,-11,-56,10182,320,41,-9999,-1,-9999,,
20160104050000,20160104000000,-11,-72,10178,330,41,-9999,0,-9999,,
20160104060000,20160104010000,-11,-78,10177,320,36,-9999,0,-1,,
20160104070000,20160104020000,-17,-67,10179,330,57,-9999,-1,-9999,,
20160104080000,20160104030000,-22,-67,10185,330,57,-9999,-1,-9999,,
20160104090000,20160104040000,-22,-78,10188,330,31,-9999,-1,-9999,,
20160104100000,20160104050000,-22,-78,10191,330,41,-9999,0,-9999,,
20160104110000,20160104060000,-22,-89,10197,330,31,-9999,0,-9999,,
20160104120000,20160104070000,-33,-61,10203,360,31,-9999,-1,-1,,
20160104130000,20160104080000,-39,-56,10212,340,26,-9999,3,-9999,,
20160104140000,20160104090000,-39,-67,-9999,350,36,-9999,-1,-9999,,
20160104150000,20160104100000,-33,-78,10235,350,31,-9999,-1,-9999,,
20160104160000,20160104110000,-22,-100,10244,350,51,0,0,-9999,,
20160104170000,20160104120000,-28,-111,10246,350,57,4,0,-9999,,
20160104180000,20160104130000,-22,-117,10246,350,57,4,0,5,,
20160104190000,20160104140000,-28,-122,10250,330,62,-9999,0,-9999,,
20160104200000,20160104150000,-28,-117,10257,340,57,-9999,0,-9999,,
20160104210000,20160104160000,-44,-144,10271,330,77,-9999,0,-9999,,
20160104220000,20160104170000,-50,-144,10280,350,62,2,0,-9999,,
20160104230000,20160104180000,-67,-156,10296,340,67,0,0,-9999,,
20160105000000,20160104190000,-72,-150,10307,350,72,0,0,-9999,,
20160105010000,20160104200000,-83,-156,10319,350,57,0,0,-9999,,
20160105020000,20160104210000,-89,-156,10329,350,51,0,0,-9999,,
20160105030000,20160104220000,-94,-150,10340,360,36,-9999,0,-9999,,
20160105040000,20160104230000,-106,-156,10352,360,31,0,0,-9999,,
20160105050000,20160105000000,-106,-161,10351,360,36,0,0,-9999,,
20160105060000,20160105010000,-111,-161,10355,350,31,0,0,-9999,,
20160105070000,20160105020000,-111,-167,10361,360,36,0,0,-9999,,
20160105080000,20160105030000,-117,-167,10366,60,21,0,0,-9999,,
20160105090000,20160105040000,-122,-167,10370,-9999,26,0,0,-9999,,
20160105100000,20160105050000,-128,-172,10372,70,15,0,0,-9999,,
20160105110000,20160105060000,-128,-172,10378,0,0,0,0,-9999,,
20160105120000,20160105070000,-133,-172,10385,90,15,0,0,-9999,,
20160105130000,20160105080000,-133,-172,10391,100,15,0,0,-9999,,
20160105140000,20160105090000,-122,-167,10394,140,31,0,0,-9999,,
20160105150000,20160105100000,-106,-161,10396,130,21,0,0,-9999,,
20160105160000,20160105110000,-83,-150,10398,-9999,21,0,0,-9999,,
20160105170000,20160105120000,-67,-150,10394,0,0,0,0,-9999,,
20160105180000,20160105130000,-50,-150,10386,0,0,0,0,-9999,,
20160105190000,20160105140000,-39,-144,10378,0,0,-9999,0,-9999,,
20160105200000,20160105150000,-28,-144,10372,50,15,0,0,-9999,,
20160105210000,20160105160000,-22,-150,10371,0,0,0,0,-9999,,
20160105220000,20160105170000,-28,-156,10369,80,15,0,0,-9999,,
20160105230000,20160105180000,-33,-156,10368,120,15,-9999,0,-9999,,
20160106000000,20160105190000,-39,-156,10369,140,15,0,0,-9999,,
20160106010000,20160105200000,-39,-150,10364,120,21,0,0,-9999,,
20160106020000,20160105210000,-44,-150,10355,110,26,0,0,-9999,,
20160106030000,20160105220000,-44,-150,10352,120,15,0,0,-9999,,
20160106040000,20160105230000,-50,-150,10349,130,15,0,0,-9999,,
20160106050000,20160106000000,-56,-144,10343,130,26,0,0,-9999,,
20160106060000,20160106010000,-56,-144,10339,130,26,0,0,-9999,,
20160106070000,20160106020000,-61,-139,10336,0,0,0,0,-9999,,
20160106080000,20160106030000,-83,-133,10337,140,26,0,0,-9999,,
20160106090000,20160106040000,-89,-133,10334,140,26,0,0,-9999,,
20160106100000,20160106050000,-61,-139,10330,130,15,0,0,-9999,,
20160106110000,20160106060000,-94,-122,10334,170,21,0,0,-9999,,
20160106120000,20160106070000,-100,-122,10336,150,31,0,0,-9999,,
20160106130000,20160106080000,-94,-117,10338,160,36,0,0,-9999,,
20160106140000,20160106090000,-72,-106,10336,160,26,0,0,-9999,,
20160106150000,20160106100000,-39,-94,10338,170,26,0,0,-9999,,
20160106160000,20160106110000,-11,-106,10335,180,41,0,0,-9999,,
20160106170000,20160106120000,17,-117,10322,190,36,0,0,-9999,,
20160106180000,20160106130000,39,-117,10309,0,0,0,0,-9999,,
20160106190000,20160106140000,50,-128,10299,-9999,21,0,0,-9999,,
20160106200000,20160106150000,56,-128,10294,190,21,0,0,-9999,,
20160106210000,20160106160000,50,-128,10292,170,21,0,0,-9999,,
20160106220000,20160106170000,44,-139,10289,170,15,0,0,-9999,,
20160106230000,20160106180000,39,-133,10287,140,15,0,0,-9999,,
20160107000000,20160106190000,33,-133,10285,130,15,0,0,-9999,,
20160107010000,20160106200000,33,-139,10283,-9999,26,0,0,-9999,,
20160107020000,20160106210000,28,-122,10285,170,15,0,0,-9999,,
20160107030000,20160106220000,6,-117,10283,160,21,0,0,-9999,,
20160107040000,20160106230000,6,-94,10277,130,21,0,0,-9999,,
20160107050000,20160107000000,6,-100,10270,0,0,0,0,-9999,,
20160107060000,20160107010000,0,-128,10263,0,0,0,0,-9999,,
20160107070000,20160107020000,-6,-122,10259,0,0,0,0,-9999,,
20160107080000,20160107030000,-11,-94,10258,60,21,0,0,-9999,,
20160107090000,20160107040000,-17,-89,10257,0,0,0,0,-9999,,
20160107100000,20160107050000,-22,-83,10256,0,0,0,0,-9999,,
20160107110000,20160107060000,-33,-89,10257,0,0,0,0,-9999,,
20160107120000,20160107070000,-39,-83,10251,70,15,0,0,-9999,,
20160107130000,20160107080000,-50,-83,10252,0,0,0,0,-9999,,
20160107140000,20160107090000,-33,-100,10254,0,0,0,0,-9999,,
20160107150000,20160107100000,-6,-78,10254,0,0,0,0,-9999,,
20160107160000,20160107110000,22,-94,10251,150,15,0,0,-9999,,
20160107170000,20160107120000,50,-106,10239,0,0,0,0,-9999,,
20160107180000,20160107130000,67,-117,10232,0,0,0,0,-9999,,
20160107190000,20160107140000,83,-106,10221,350,15,0,0,-9999,,
20160107200000,20160107150000,89,-117,10218,130,21,0,0,-9999,,
20160107210000,20160107160000,83,-111,10212,100,21,-9999,0,-9999,,
20160107220000,20160107170000,72,-111,10216,150,21,0,0,-9999,,
20160107230000,20160107180000,67,-111,10218,0,0,0,0,-9999,,
20160108000000,20160107190000,61,-117,10223,130,15,0,0,-9999,,
20160108010000,20160107200000,56,-122,10219,90,15,0,0,-9999,,
20160108020000,20160107210000,50,-122,10211,80,21,0,0,-9999,,
20160108030000,20160107220000,44,-128,10207,110,21,0,0,-9999,,
20160108040000,20160107230000,39,-122,10208,0,0,0,0,-9999,,
20160108050000,20160108000000,11,-117,10204,0,0,0,0,-9999,,
20160108060000,20160108010000,17,-89,10197,0,0,0,0,-9999,,
20160108070000,20160108020000,6,-89,10194,40,15,0,0,-9999,,
20160108080000,20160108030000,0,-78,10189,50,21,0,0,-9999,,
20160108090000,20160108040000,-6,-83,10187,130,21,0,0,-9999,,
20160108100000,20160108050000,-17,-89,10175,100,21,0,0,-9999,,
20160108110000,20160108060000,-6,-106,10177,130,31,0,0,-9999,,
20160108120000,20160108070000,-22,-89,10175,120,15,0,0,-9999,,
20160108130000,20160108080000,-6,-100,10171,120,26,0,0,-9999,,
20160108140000,20160108090000,-6,-89,10171,40,15,0,0,-9999,,
20160108150000,20160108100000,11,-83,10172,0,0,0,0,-9999,,
20160108160000,20160108110000,22,-72,10171,0,0,0,0,-9999,,
20160108170000,20160108120000,22,-72,10168,130,21,4,0,-9999,,
20160108180000,20160108130000,33,-72,10160,140,21,-9999,0,-9999,,
20160108190000,20160108140000,39,-22,10158,190,31,-9999,3,-9999,,
20160108200000,20160108150000,28,0,10154,150,21,-9999,13,-9999,,
20160108210000,20160108160000,28,6,10153,130,21,-9999,5,-9999,,
20160108220000,20160108170000,28,11,10156,130,15,-9999,8,-9999,,
20160108230000,20160108180000,39,22,10154,160,15,-9999,-1,-9999,,
20160109000000,20160108190000,39,22,10155,130,31,-9999,0,28,,
20160109010000,20160108200000,39,22,10156,140,21,-9999,-1,-9999,,
20160109020000,20160108210000,50,33,10158,160,36,-9999,3,-9999,,
20160109030000,20160108220000,56,39,10156,160,36,-9999,-1,-9999,,
20160109040000,20160108230000,50,44,-9999,140,26,-9999,0,-9999,,
20160109050000,20160109000000,67,50,10153,170,36,-9999,-1,-9999,,
20160109060000,20160109010000,67,50,10151,170,31,-9999,-1,3,,
20160109070000,20160109020000,61,50,-9999,160,31,-9999,3,-9999,,
20160109080000,20160109030000,50,39,-9999,150,31,9,0,-9999,,
20160109090000,20160109040000,56,44,-9999,150,31,2,0,-9999,,
20160109100000,20160109050000,56,44,10143,170,36,2,0,-9999,,
20160109110000,20160109060000,67,50,10148,180,41,-9999,0,-9999,,
20160109120000,20160109070000,67,44,10151,170,41,-9999,0,3,,
20160109130000,20160109080000,67,44,10156,180,41,0,0,-9999,,
20160109140000,20160109090000,72,44,10161,170,36,0,0,-9999,,
20160109150000,20160109100000,94,56,10161,180,31,0,0,-9999,,
20160109160000,20160109110000,106,56,10160,180,31,4,0,-9999,,
20160109170000,20160109120000,122,61,10152,190,36,0,0,-9999,,
20160109180000,20160109130000,128,61,10140,170,31,0,0,-9999,,
20160109190000,20160109140000,133,61,10133,150,31,0,0,-9999,,
20160109200000,20160109150000,128,61,10128,170,31,0,0,-9999,,
20160109210000,20160109160000,128,61,10122,120,21,0,0,-9999,,
20160109220000,20160109170000,117,56,10118,110,51,0,0,-9999,,
20160109230000,20160109180000,94,39,10116,120,57,0,0,-9999,,
20160110000000,20160109190000,83,33,10113,120,41,0,0,-9999,,
20160110010000,20160109200000,78,33,10114,130,41,0,0,-9999,,
20160110020000,20160109210000,78,39,10097,120,57,0,0,-9999,,
20160110030000,20160109220000,89,44,10095,130,77,4,0,-9999,,
20160110040000,20160109230000,83,56,10079,120,46,-9999,5,-9999,,
20160110050000,20160110000000,83,61,10070,130,62,-9999,13,-9999,,
20160110060000,20160110010000,83,61,10058,130,41,-9999,38,48,,
20160110070000,20160110020000,78,61,10038,100,41,-9999,51,-9999,,
20160110080000,20160110030000,78,61,10014,120,57,-9999,5,-9999,,
20160110090000,20160110040000,78,61,9992,100,46,-9999,0,-9999,,
20160110100000,20160110050000,78,61,9977,120,26,-9999,8,-9999,,
20160110110000,20160110060000,83,67,9961,110,41,-9999,18,-9999,,
20160110120000,20160110070000,83,72,9956,160,26,-9999,18,99,,
20160110130000,20160110080000,89,67,9956,200,82,-9999,23,-9999,,
20160110140000,20160110090000,89,61,9955,190,46,-9999,-1,-9999,,
20160110150000,20160110100000,89,61,9954,190,46,-9999,3,-9999,,
20160110160000,20160110110000,100,50,9946,210,77,-9999,-1,-9999,NON-TSTM WND GST,1 ASOS
20160110170000,20160110120000,94,39,9939,220,93,-9999,-1,-9999,NON-TSTM WND GST,4 MESONET
20160110180000,20160110130000,61,6,9963,240,118,-9999,-1,33,NON-TSTM WND DMG,2 EMERGENCY MNGR
20160110190000,20160110140000,28,-11,-9999,250,165,-9999,-1,-9999,,
20160110200000,20160110150000,11,-28,-9999,260,108,-9999,2,-9999,,
20160110210000,20160110160000,6,-50,10042,290,77,-9999,-1,-9999,,
20160110220000,20160110170000,0,-28,10062,250,57,-9999,-1,-9999,,
20160110230000,20160110180000,-6,-44,10073,270,62,-9999,-1,-9999,,
20160111000000,20160110190000,-11,-44,10079,270,67,-9999,-1,3,,
20160111010000,20160110200000,-17,-89,10090,270,103,-9999,-1,-9999,,
20160111020000,20160110210000,-33,-67,-9999,270,72,-9999,-1,-9999,,
20160111030000,20160110220000,-39,-89,10117,250,108,-9999,-1,-9999,,
20160111040000,20160110230000,-50,-122,10128,270,82,-9999,-1,-9999,,
20160111050000,20160111000000,-61,-139,10136,280,72,-9999,-1,-9999,,
20160111060000,20160111010000,-61,-117,10143,280,46,-9999,-1,-1,,
20160111070000,20160111020000,-67,-133,10153,270,72,-9999,-1,-9999,,
20160111080000,20160111030000,-78,-139,10166,260,67,-9999,0,-9999,,
20160111090000,20160111040000,-83,-139,10169,260,67,2,0,-9999,,
20160111100000,20160111050000,-89,-139,10169,260,67,2,0,-9999,,
20160111110000,20160111060000,-83,-133,10175,250,72,-9999,0,-9999,,
20160111120000,20160111070000,-89,-139,10183,270,51,-9999,0,-1,,
20160111130000,20160111080000,-83,-139,10185,250,67,-9999,0,-9999,,
20160111140000,20160111090000,-89,-144,10193,260,62,-9999,0,-9999,,
20160111150000,20160111100000,-78,-133,10198,270,51,-9999,0,-9999,,
20160111160000,20160111110000,-72,-139,10200,250,57,-9999,-1,-9999,,
20160111170000,20160111120000,-61,-139,10198,250,72,-9999,0,-9999,,
20160111180000,20160111130000,-67,-144,10195,260,67,4,0,-1,,
20160111190000,20160111140000,-50,-150,10194,240,46,2,0,-9999,,
20160111200000,20160111150000,-44,-144,10190,240,51,0,0,-9999,,
20160111210000,20160111160000,-50,-150,10190,230,57,2,0,-9999,,
20160111220000,20160111170000,-61,-139,10193,250,41,2,0,-9999,,
20160111230000,20160111180000,-67,-128,10193,200,36,0,0,-9999,,
20160112000000,20160111190000,-67,-128,10195,190,31,-9999,0,-9999,,
20160112010000,20160111200000,-67,-122,10191,200,41,-9999,0,-9999,,
20160112020000,20160111210000,-61,-122,10181,190,41,-9999,0,-9999,,
20160112030000,20160111220000,-67,-117,10176,170,31,0,0,-9999,,
20160112040000,20160111230000,-67,-117,10164,170,31,4,0,-9999,,
20160112050000,20160112000000,-61,-111,10152,160,41,-9999,0,-9999,,
20160112060000,20160112010000,-50,-111,10140,180,46,-9999,0,-9999,,
20160112070000,20160112020000,-39,-111,10126,170,46,-9999,0,-9999,,
20160112080000,20160112030000,-28,-100,10119,200,62,-9999,0,-9999,,
20160112090000,20160112040000,-33,-61,10111,180,46,-9999,-1,-9999,,
20160112100000,20160112050000,-28,-56,-9999,190,57,-9999,-1,-9999,,
20160112110000,20160112060000,-28,-50,10096,190,51,-9999,-1,-9999,,
20160112120000,20160112070000,-28,-44,-9999,180,51,-9999,-1,-1,,
20160112130000,20160112080000,-22,-44,-9999,180,67,-9999,-1,-9999,,
20160112140000,20160112090000,-17,-39,-9999,180,51,-9999,-1,-9999,SNOW,1 PUBLIC
20160112150000,20160112100000,-17,-39,10073,190,62,-9999,-1,-9999,,
20160112160000,20160112110000,-11,-33,10068,200,77,-9999,-1,-9999,,
20160112170000,20160112120000,-6,-33,-9999,210,67,-9999,-1,-9999,SNOW,1 COCORAHS
20160112180000,20160112130000,0,-33,10043,220,77,-9999,-1,3,SNOW,"1 TRAINED SPOTTER, 1 PUBLIC"
20160112190000,20160112140000,-28,-44,10046,300,41,-9999,8,-9999,,
20160112200000,20160112150000,-17,-56,-9999,260,62,-9999,3,-9999,SNOW,"1 TRAINED SPOTTER, 1 PUBLIC"
20160112210000,20160112160000,-39,-72,10075,290,62,-9999,-1,-9999,SNOW,1 TRAINED SPOTTER
20160112220000,20160112170000,-50,-106,10095,300,82,-9999,-1,-9999,SNOW,1 PUBLIC
20160112230000,20160112180000,-67,-128,10120,300,46,-9999,0,-9999,,
20160113000000,20160112190000,-78,-156,10143,290,77,-9999,0,10,,
20160113010000,20160112200000,-83,-150,10159,270,57,-9999,0,-9999,,
20160113020000,20160112210000,-89,-133,10168,250,82,-9999,-1,-9999,SNOW,1 BROADCAST MEDIA
20160113030000,20160112220000,-94,-144,10177,260,67,-9999,-1,-9999,,
20160113040000,20160112230000,-94,-144,10183,260,57,-9999,0,-9999,,
20160113050000,20160113000000,-100,-150,10186,250,77,-9999,0,-9999,,
20160113060000,20160113010000,-106,-150,10183,240,88,-9999,0,-1,,
20160113070000,20160113020000,-111,-161,10192,230,77,0,0,-9999,,
20160113080000,20160113030000,-122,-161,10207,230,46,-9999,0,-9999,,
20160113090000,20160113040000,-128,-172,10218,240,67,2,0,-9999,,
20160113100000,20160113050000,-133,-172,10219,240,72,0,0,-9999,,
20160113110000,20160113060000,-139,-178,10222,210,41,4,0,-9999,,
20160113120000,20160113070000,-144,-178,10226,220,57,0,0,-9999,,
20160113130000,20160113080000,-144,-178,10224,230,57,-9999,0,-9999,,
20160113140000,20160113090000,-144,-178,10228,230,51,0,0,-9999,,
20160113150000,20160113100000,-133,-172,10234,250,51,0,0,-9999,,
20160113160000,20160113110000,-122,-167,10233,260,36,0,0,-9999,,
20160113170000,20160113120000,-111,-161,10225,250,36,0,0,-9999,,
20160113180000,20160113130000,-100,-167,10214,230,57,4,0,-9999,,
20160113190000,20160113140000,-94,-172,10203,220,46,0,0,-9999,,
20160113200000,20160113150000,-83,-178,10202,270,57,0,0,-9999,,
20160113210000,20160113160000,-83,-183,10201,260,41,0,0,-9999,,
20160113220000,20160113170000,-83,-183,10193,220,57,0,0,-9999,,
20160113230000,20160113180000,-78,-172,10192,230,36,2,0,-9999,,
20160114000000,20160113190000,-78,-167,10187,210,31,-9999,0,-9999,,
20160114010000,20160113200000,-72,-156,10186,200,31,-9999,0,-9999,,
20160114020000,20160113210000,-72,-150,10177,180,31,-9999,0,-9999,,
20160114030000,20160113220000,-72,-139,10157,180,41,-9999,0,-9999,,
20160114040000,20160113230000,-67,-122,10151,170,36,-9999,-1,-9999,,
20160114050000,20160114000000,-67,-128,10145,180,36,-9999,0,-9999,,
20160114060000,20160114010000,-61,-128,10135,200,46,-9999,-1,-1,,
20160114070000,20160114020000,-56,-122,10133,200,36,-9999,-1,-9999,,
20160114080000,20160114030000,-39,-111,10133,210,46,-9999,0,-9999,,
20160114090000,20160114040000,-22,-106,10135,230,41,-9999,0,-9999,,
20160114100000,20160114050000,-22,-100,10138,230,72,-9999,0,-9999,,
20160114110000,20160114060000,-22,-94,10139,220,46,-9999,0,-9999,,
20160114120000,20160114070000,-22,-89,10143,200,46,-9999,0,-1,,
20160114130000,20160114080000,-11,-83,10143,210,51,-9999,0,-9999,,
20160114140000,20160114090000,-6,-83,10145,210,57,0,0,-9999,,
20160114150000,20160114100000,6,-78,10145,200,51,0,0,-9999,,
20160114160000,20160114110000,17,-61,10147,240,46,0,0,-9999,,
20160114170000,20160114120000,28,-56,10139,230,51,-9999,0,-9999,,
20160114180000,20160114130000,39,-44,10126,220,57,2,0,-9999,,
20160114190000,20160114140000,50,-33,10117,230,41,-9999,0,-9999,,
20160114200000,20160114150000,61,-28,10117,220,51,-9999,0,-9999,,
20160114210000,20160114160000,67,-22,10116,210,57,2,0,-9999,,
20160114220000,20160114170000,61,-17,10124,210,26,-9999,0,-9999,,
20160114230000,20160114180000,61,-17,10125,180,36,-9999,0,-9999,,
20160115000000,20160114190000,67,-11,10124,180,36,-9999,0,-9999,,
20160115010000,20160114200000,61,-11,10119,170,41,-9999,0,-9999,,
20160115020000,20160114210000,67,-6,10119,180,41,-9999,0,-9999,,
20160115030000,20160114220000,61,-6,10116,180,41,0,0,-9999,,
20160115040000,20160114230000,61,-6,10110,180,46,0,0,-9999,,
20160115050000,20160115000000,56,-6,10110,180,46,0,0,-9999,,
20160115060000,20160115010000,56,-6,10112,180,51,0,0,-9999,,
20160115070000,20160115020000,50,-6,10110,180,41,0,0,-9999,,
20160115080000,20160115030000,50,-11,10111,180,46,0,0,-9999,,
20160115090000,20160115040000,50,-17,10112,180,46,0,0,-9999,,
20160115100000,20160115050000,50,-22,10105,180,41,0,0,-9999,,
20160115110000,20160115060000,50,-28,10104,170,41,0,0,-9999,,
20160115120000,20160115070000,50,-28,10096,170,36,0,0,-9999,,
20160115130000,20160115080000,56,-33,10092,170,41,0,0,-9999,,
20160115140000,20160115090000,56,-33,10087,170,41,0,0,-9999,,
20160115150000,20160115100000,72,-39,10082,170,31,0,0,-9999,,
20160115160000,20160115110000,94,-33,10070,180,51,0,0,-9999,,
20160115170000,20160115120000,106,-39,10052,190,36,0,0,-9999,,
20160115180000,20160115130000,106,-44,10045,190,41,0,0,-9999,,
20160115190000,20160115140000,106,-44,10023,160,15,0,0,-9999,,
20160115200000,20160115150000,106,-39,10020,180,21,-9999,0,-9999,,
20160115210000,20160115160000,106,-39,10017,140,21,4,0,-9999,,
20160115220000,20160115170000,100,-39,10015,130,31,-9999,0,-9999,,
20160115230000,20160115180000,100,-44,10004,160,15,-9999,0,-9999,,
20160116000000,20160115190000,94,-44,10002,170,31,-9999,0,-9999,,
20160116010000,20160115200000,89,-11,10003,180,67,-9999,-1,-9999,,
20160116020000,20160115210000,61,28,10000,170,51,-9999,5,-9999,,
20160116030000,20160115220000,56,33,9986,150,31,-9999,10,-9999,,
20160116040000,20160115230000,56,39,9977,140,26,-9999,5,-9999,,
20160116050000,20160116000000,56,39,9970,200,15,-9999,13,-9999,,
20160116060000,20160116010000,56,39,-9999,210,41,-9999,13,46,,
20160116070000,20160116020000,61,44,9969,240,46,-9999,0,-9999,,
20160116080000,20160116030000,56,39,-9999,270,57,-9999,0,-9999,,
20160116090000,20160116040000,56,33,9984,260,46,-9999,0,-9999,,
20160116100000,20160116050000,56,28,9994,240,41,-9999,0,-9999,,
20160116110000,20160116060000,50,33,-9999,230,46,-9999,-1,-9999,,
20160116120000,20160116070000,50,28,10012,250,62,-9999,-1,-1,,
20160116130000,20160116080000,39,11,10022,270,77,-9999,-1,-9999,,
20160116140000,20160116090000,28,0,10038,270,62,-9999,0,-9999,,
20160116150000,20160116100000,17,-6,10055,260,72,-9999,0,-9999,,
20160116160000,20160116110000,17,-6,10060,260,62,-9999,0,-9999,,
20160116170000,20160116120000,17,-6,10062,260,77,-9999,0,-9999,,
20160116180000,20160116130000,17,-6,10062,260,62,-9999,0,-1,,
20160116190000,20160116140000,17,-6,10068,290,36,-9999,0,-9999,,
20160116200000,20160116150000,11,-17,-9999,280,62,-9999,3,-9999,,
20160116210000,20160116160000,17,-33,10083,280,57,-9999,0,-9999,,
20160116220000,20160116170000,17,-33,10092,300,26,-9999,0,-9999,,
20160116230000,20160116180000,11,-39,10104,290,26,-9999,0,-9999,,
20160117000000,20160116190000,11,-39,10116,270,36,-9999,0,3,,
20160117010000,20160116200000,6,-33,10121,270,31,-9999,0,-9999,,
20160117020000,20160116210000,6,-39,10120,270,46,-9999,0,-9999,,
20160117030000,20160116220000,6,-39,10125,260,46,-9999,0,-9999,,
20160117040000,20160116230000,0,-56,10126,280,46,-9999,0,-9999,,
20160117050000,20160117000000,0,-50,10123,270,26,-9999,0,-9999,,
20160117060000,20160117010000,0,-44,10116,-9999,21,-9999,0,-9999,,
20160117070000,20160117020000,-6,-56,10126,320,31,-9999,0,-9999,,
